,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
15691,3200,Selangor - Bandar Sunway,Condominium,3.0,2.0,2.0,968,Fully Furnished,"Swimming Pool, Gymnasium, Sauna, Playground, Security, Barbeque area, Multipurpose hall",None,Selangor
15692,1300,Selangor - Cyberjaya,Apartment,3.0,2.0,2.0,1000,Partially Furnished,"Minimart, Security, Parking, Swimming Pool, Lift, Gymnasium, Playground, Multipurpose hall, Jogging Track",None,Selangor
15693,750,Selangor - Ampang,Flat,3.0,0.0,1.0,650,Not Furnished,Lift,"Near KTM/LRT, Cooking Allowed",Selangor
15694,1600,Selangor - Damansara Damai,Service Residence,4.0,2.0,2.0,1228,Partially Furnished,"Gymnasium, Security, Parking, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Multipurpose hall, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15695,1300,Selangor - Ampang,Condominium,3.0,1.0,2.0,850,Partially Furnished,"Swimming Pool, Multipurpose hall, Security, Minimart, Gymnasium, Parking, Lift",Cooking Allowed,Selangor
15696,1799,Selangor - Cyberjaya,Condominium,3.0,2.0,2.0,1010,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15697,1800,Selangor - 639,Service Residence,2.0,1.0,2.0,800,Fully Furnished,"Playground, Jogging Track, Parking, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15698,2800,Selangor - Ulu Klang,Condominium,3.0,2.0,2.0,851,Fully Furnished,"Gymnasium, Playground, Barbeque area, Swimming Pool, Sauna, Security, Minimart",None,Selangor
15699,1500,Selangor - Seri Kembangan,Service Residence,1.0,1.0,1.0,460,Fully Furnished,"Playground, Jogging Track, Parking, Security, Swimming Pool, Gymnasium, Lift, Sauna, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15700,900,Selangor - Seri Kembangan,Service Residence,1.0,1.0,1.0,450,Partially Furnished,"Barbeque area, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Parking, Security",Air-Cond,Selangor
15701,4500,Selangor - Ulu Klang,Condominium,3.0,2.0,2.0,1157,Fully Furnished,"Gymnasium, Playground, Barbeque area, Swimming Pool, Sauna, Security, Minimart",None,Selangor
15702,1500,Selangor - Shah Alam,Apartment,3.0,2.0,2.0,944,Fully Furnished,"Playground, Parking, Security","Air-Cond, Washing Machine",Selangor
15703,2800,Selangor - Kota Kemuning,Condominium,2.0,2.0,2.0,925,Fully Furnished,"Sauna, Club house, Parking, Security, Playground, Swimming Pool, Barbeque area, Gymnasium, Jogging Track, Multipurpose hall",None,Selangor
15704,2000,Selangor - Shah Alam,Service Residence,3.0,2.0,2.0,1100,Partially Furnished,"Parking, Swimming Pool, Security, Minimart, Playground, Gymnasium, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15705,1100,Selangor - Klang,Apartment,3.0,0.0,2.0,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart","Air-Cond, Cooking Allowed",Selangor
15706,1800,Selangor - Puchong,Condominium,3.0,2.0,2.0,1119,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Multipurpose hall, Jogging Track","Air-Cond, Washing Machine, Near KTM/LRT, Cooking Allowed",Selangor
15707,900,Selangor - Ampang,Flat,3.0,0.0,1.0,650,Partially Furnished,"Playground, Minimart, Parking",Near KTM/LRT,Selangor
15708,1600,Selangor - Subang Jaya,Apartment,2.0,1.0,2.0,789,Partially Furnished,"Gymnasium, Playground, Swimming Pool, Multipurpose hall, Squash Court, Jogging Track, Sauna, Security, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
15709,350,Selangor - Rawang,Apartment,3.0,0.0,2.0,650,Not Furnished,None,None,Selangor
15710,1700,Selangor - Subang Jaya,Service Residence,4.0,1.0,3.0,1065,Fully Furnished,"Swimming Pool, Security, Minimart, Playground, Parking, Tennis Court, Lift, Multipurpose hall","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine",Selangor
15711,1000,Selangor - Selayang,Service Residence,1.0,0.0,1.0,612,Partially Furnished,"Club house, Gymnasium, Barbeque area, Security, Sauna, Playground, Parking, Minimart, Swimming Pool","Air-Cond, Cooking Allowed",Selangor
15712,1500,Selangor - Setia Alam,Apartment,3.0,2.0,2.0,950,Partially Furnished,"Parking, Swimming Pool, Security, Multipurpose hall, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed",Selangor
15713,1199,Selangor - Puncak Alam,Service Residence,3.0,1.0,2.0,842,Partially Furnished,"Playground, Security, Minimart, Swimming Pool, Gymnasium, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15714,1000,Selangor - Sungai Buloh,Service Residence,1.0,1.0,1.0,504,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15715,750,Selangor - Rawang,Apartment,3.0,1.0,2.0,900,Not Furnished,"Parking, Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Selangor
15716,1100,Selangor - Cyberjaya,Condominium,1.0,1.0,1.0,450,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium, Minimart, Club house, Jogging Track, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15717,2000,Selangor - Shah Alam,Condominium,3.0,0.0,2.0,1050,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15718,1100,Selangor - Bangi,Apartment,3.0,2.0,2.0,1017,Partially Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 10, 11","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15719,1000,Selangor - Bangi,Apartment,3.0,2.0,2.0,956,Partially Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 11, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15720,1000,Selangor - Bangi,Condominium,7.0,2.0,6.0,3048,Fully Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 10, 11","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
15721,1000,Selangor - Bangi,Apartment,3.0,2.0,2.0,956,Partially Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 11","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15722,1100,Selangor - Bangi,Apartment,3.0,2.0,2.0,1017,Partially Furnished,"Swimming Pool, Gymnasium, Squash Court, Minimart, Playground, Jogging Track, Security, 10","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15723,1500,Selangor - Bangi,Apartment,3.0,2.0,2.0,956,Partially Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Jogging Track, Security, 11","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15724,2300,Selangor - Damansara Perdana,Condominium,3.0,2.0,2.0,1025,Partially Furnished,"Gymnasium, Squash Court, Lift, Sauna, Parking, Minimart, Swimming Pool, Security, Playground, Tennis Court",Cooking Allowed,Selangor
